Data paths:
  building: benchmark-data-sf10/building
  customer: benchmark-data-sf10/customer
  driver: benchmark-data-sf10/driver
  trip: benchmark-data-sf10/trip
  vehicle: benchmark-data-sf10/vehicle
  zone: benchmark-data-sf10/zone

============================================================
Running Sedonadb Gpu Benchmark
============================================================
Sedonadb Gpu version: 0.3.0
  Running q6... [LIBGPUSPATIAL] [  9975][17:57:36:974800][info  ] Initializing GpuSpatialRuntime on device 0, PTX root /mnt/data/sedona-db/target/release/build/sedona-libgpuspatial-49614f8a870dbe66/out/share/gpuspatial/shaders
[LIBGPUSPATIAL] [  9975][17:57:37:129328][info  ] Init Memory Manager
[LIBGPUSPATIAL] [  9975][17:57:37:129517][info  ] Creating RMM pool memory resource with size 22511 MB
[LIBGPUSPATIAL] [  9975][17:57:37:174120][info  ] Initialize RTEngine
[LIBGPUSPATIAL] [  9975][17:57:37:310249][info  ] Create RTSpatialIndex 0x75dbf000a800, fast_build = 0, compact = 0, concurrency = 8
[LIBGPUSPATIAL] [  9975][17:57:37:313130][info  ] Create RTSpatialRefiner 0x75dbf3d29300, fast_build = 0, compact = 0, parsing_threads = 8, concurrency = 8, pipeline_batches = 1, wkb_parser_memory_quota = 0.80, relate_engine_memory_quota = 0.01
[LIBGPUSPATIAL] [  9975][17:57:37:321345][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), FinishBuilding Refiner, Total geoms: 18
[LIBGPUSPATIAL] [  9975][17:57:37:321379][info  ] RTSpatialIndex 0x75dbf000a800 (Used 0 MB), PushBuild, Rectangles 18
[LIBGPUSPATIAL] [  9975][17:57:37:321729][info  ] RTSpatialIndex 0x75dbf000a800 (Used 0 MB), FinishBuilding Index on Rectangles, Total geoms: 18
[LIBGPUSPATIAL] [  9974][17:57:37:540293][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 17
[LIBGPUSPATIAL] [  9974][17:57:37:540458][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 17
[LIBGPUSPATIAL] [  9974][17:57:37:540977][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 13, Type Point
[LIBGPUSPATIAL] [  9974][17:57:37:541014][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 17 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9973][17:57:37:567312][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 12
[LIBGPUSPATIAL] [  9972][17:57:37:567358][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 25
[LIBGPUSPATIAL] [  9973][17:57:37:567682][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 12
[LIBGPUSPATIAL] [  9972][17:57:37:567836][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 25
[LIBGPUSPATIAL] [  9973][17:57:37:568148][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 9, Type Point
[LIBGPUSPATIAL] [  9973][17:57:37:568252][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 12 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9972][17:57:37:569010][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 18, Type Point
[LIBGPUSPATIAL] [  9972][17:57:37:569054][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 25 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9969][17:57:37:579426][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 16
[LIBGPUSPATIAL] [  9969][17:57:37:579585][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 16
[LIBGPUSPATIAL] [  9969][17:57:37:579990][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 10, Type Point
[LIBGPUSPATIAL] [  9969][17:57:37:580033][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 16 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9974][17:57:37:581041][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 29
[LIBGPUSPATIAL] [  9974][17:57:37:581219][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 29
[LIBGPUSPATIAL] [  9974][17:57:37:581519][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 23, Type Point
[LIBGPUSPATIAL] [  9974][17:57:37:581555][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 29 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9972][17:57:37:587728][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 25
[LIBGPUSPATIAL] [  9972][17:57:37:587909][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 25
[LIBGPUSPATIAL] [  9972][17:57:37:588371][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 1 MB), Loaded Geometries, ProbeArray 100000, Loaded 21, Type Point
[LIBGPUSPATIAL] [  9972][17:57:37:588451][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 1 MB), Evaluating 25 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9976][17:57:37:588895][info  ] RTSpatialIndex 0x75dbf000a800 (Used 2 MB), Allocate result buffer, memory consumption 0 MB, capacity 28
[LIBGPUSPATIAL] [  9976][17:57:37:589325][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 28
[LIBGPUSPATIAL] [  9973][17:57:37:589349][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 20
[LIBGPUSPATIAL] [  9973][17:57:37:589742][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 20
[LIBGPUSPATIAL] [  9976][17:57:37:589948][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 21, Type Point
[LIBGPUSPATIAL] [  9976][17:57:37:589994][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 28 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9973][17:57:37:590247][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 15, Type Point
[LIBGPUSPATIAL] [  9973][17:57:37:590283][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 20 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9974][17:57:37:597872][info  ] RTSpatialIndex 0x75dbf000a800 (Used 2 MB), Allocate result buffer, memory consumption 0 MB, capacity 20
[LIBGPUSPATIAL] [  9974][17:57:37:598235][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 20
[LIBGPUSPATIAL] [  9969][17:57:37:598275][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 18
[LIBGPUSPATIAL] [  9969][17:57:37:598629][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 18
[LIBGPUSPATIAL] [  9974][17:57:37:598817][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 15, Type Point
[LIBGPUSPATIAL] [  9974][17:57:37:598873][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 20 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9969][17:57:37:598968][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 14, Type Point
[LIBGPUSPATIAL] [  9969][17:57:37:599012][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 18 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9976][17:57:37:602304][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 22
[LIBGPUSPATIAL] [  9976][17:57:37:602464][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 22
[LIBGPUSPATIAL] [  9976][17:57:37:602872][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 1 MB), Loaded Geometries, ProbeArray 100000, Loaded 14, Type Point
[LIBGPUSPATIAL] [  9976][17:57:37:602922][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 1 MB), Evaluating 22 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9970][17:57:37:603306][info  ] RTSpatialIndex 0x75dbf000a800 (Used 2 MB), Allocate result buffer, memory consumption 0 MB, capacity 28
[LIBGPUSPATIAL] [  9970][17:57:37:603768][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 28
[LIBGPUSPATIAL] [  9972][17:57:37:604185][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Allocate result buffer, memory consumption 0 MB, capacity 16
[LIBGPUSPATIAL] [  9972][17:57:37:604474][info  ] RTSpatialIndex 0x75dbf000a800 (Used 1 MB), Probe Points, Size: 100000, Results: 16
[LIBGPUSPATIAL] [  9970][17:57:37:604480][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 1 MB), Loaded Geometries, ProbeArray 100000, Loaded 20, Type Point
[LIBGPUSPATIAL] [  9970][17:57:37:604539][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Evaluating 28 Geometry Pairs with Predicate Contains
[LIBGPUSPATIAL] [  9972][17:57:37:604831][info  ] RTSpatialRefiner 0x75dbf3d29300 (Used 0 MB), Loaded Geometries, ProbeArray 100000, Loaded 13, Type Point
